
Numero de testes: 1129
Acurácia: 760
Erro: 369
Taxa de precisão: 0.6731620903454384
Taxa de falsas descobertas: 0.32683790965456155

Matrix de confusao
	0	1	2	3	4	5	6	7	8	9	
0	109	1	4	5	0	0	1	0	7	38	
1	0	110	0	13	2	0	0	0	25	13	
2	0	3	105	39	1	0	0	0	20	8	
3	0	0	0	0	0	0	0	0	0	0	
4	2	0	0	1	104	2	0	0	11	16	
5	0	0	0	17	0	107	0	0	19	22	
6	0	1	1	4	0	3	111	0	19	5	
7	0	0	2	36	7	0	0	114	10	11	
8	0	0	0	0	0	0	0	0	0	0	
9	0	0	0	0	0	0	0	0	0	0	
