0,6.111023457268997E8,1.5819625036323568E10
1,6.827940992612247E19,1.6253949861297785E21
2,4.099650982465103E30,1.0413637842539776E32
3,1.5335328027065218E41,3.9311020584954497E42
4,3.2936357800312296E51,7.543603231896065E52
5,3.761316476732387E61,8.706379684236528E62
6,2.6390051905070524E71,6.435945960520945E72
7,1.5642010898133946E81,3.548221794135957E82
8,6.414122533721568E90,1.420556298794691E92
9,1.002748282749858E100,2.0468469649868314E101
10,1.387328070121992E109,3.032768465720599E110
11,1.630864425434764E118,3.4337955791299166E119
12,1.6592098513984445E127,3.3224374439185492E128
13,7.622998913666079E135,1.5257138169403245E137
14,3.8934919229097525E144,7.135180641620824E145
15,1.361916951839306E153,2.6771864188841722E154
16,3.5341986621348E161,6.794972211289355E162
17,6.319069757401023E169,1.2182633171969095E171
18,1.0447534521829588E178,1.94603202826967E179
19,9.625994632440527E185,1.6542647454999485E187
20,2.5118248561798464E193,4.6196544401880856E194
21,1.0774874484583731E201,1.923859176918545E202
22,1.8536736438851331E208,2.804176954986246E209
23,1.7408262234418586E215,2.7095391387917108E216
24,1.7413044982247787E222,2.8767263158858157E223
25,1.8738348701786875E229,3.1354331463913307E230
26,1.044107942164061E236,1.4391788931187511E237
27,5.497625528338429E242,8.627058794139906E243
28,1.84373862677133E249,2.6712977651207187E250
29,6.695713608153548E255,9.964872126054831E256
30,1.5379588222437307E262,2.3064922954246587E263
31,3.6457456472576555E268,5.212275234850807E269
32,4.897229299637711E274,6.70891955248305E275
33,3.906522357747791E280,5.0873776640364355E281
34,2.720871636255194E286,3.497705546230265E287
35,1.3147429844551344E292,1.70392909530224E293
36,5.641780131274055E297,7.540335836040573E298
37,1.705937074946301E303,2.0133102003815083E304
38,Infinity,Infinity
39,Infinity,Infinity
40,Infinity,Infinity
41,Infinity,NaN
42,Infinity,NaN
43,Infinity,NaN
44,Infinity,NaN
